iata,name,tz
AGD,Anggi Airport,Asia/Jayapura
AGE,Wangerooge,Europe/Berlin
AGF,Agen-la-Garenne,Europe/Paris
AGG,Angoram,Pacific/Port_Moresby
AGH,Ängelholm–Helsingborg Airport,Europe/Stockholm
AGI,Wageningen Airport Airport,America/Paramaribo
AGJ,Aguni Island,Asia/Tokyo
AGK,Kagua Airport,Pacific/Port_Moresby
AGL,Wanigela Airport,Pacific/Port_Moresby
AGM,Tasiilaq Heliport,America/Nuuk
AGN,Angoon Seaplane Base,America/Juneau
AGO,Magnolia Municipal Airport,America/Chicago
AGP,Málaga Airport,Europe/Madrid
AGQ,Agrinion Airport,Europe/Athens
AGR,Agra Airport,Asia/Kolkata
AGS,Augusta Regional Airport,America/New_York
AGT,Guaraní International Airport,America/Asuncion
AGU,Aguascalientes International Airport,America/Mexico_City
AGV,Acarigua,America/Caracas
AGW,Agnew Airport,Australia/Brisbane
AGX,Agatti Airport,Asia/Kolkata
AGZ,Aggeneys Airport,Africa/Johannesburg
AHB,Abha Regional Airport,Asia/Riyadh
AHC,Amedee Army Airfield,America/Los_Angeles
AHD,Ardmore Downtown Executive Airport,America/Chicago
AHE,Ahe Airport,Pacific/Tahiti
AHF,Arapahoe Municipal Airport,America/Chicago
AHG,Agalega Airstrip,Indian/Mauritius
AHH,Amery Municipal Airport,America/Chicago
AHI,Amahai Airport,Asia/Jayapura
AHJ,Hongyuan Airport,Asia/Shanghai
AHL,Aishalton Airport,America/Guyana
AHM,Ashland Municipal Airport-Sumner Parker Field,America/Los_Angeles
AHN,Athens-Ben Epps Airport,America/New_York
AHO,Alghero-Fertilia Airport,Europe/Rome
AHS,Ahuas Airport,America/Tegucigalpa
AHU,Cherif Al Idrissi Airport,Africa/Casablanca
AHW,Saih Rawl,Asia/Muscat
AHY,Amabatolahy Airport,Indian/Antananarivo
AHZ,Alpe d'Huez Airport,Europe/Paris
AIA,Alliance Municipal Airport,America/Denver
AIC,Ailinglaplap Airok Airport,Pacific/Kwajalein
AID,Anderson Municipal Airport,America/Indiana/Indianapolis
AIE,Aiome Airport,Pacific/Port_Moresby
AIF,Marcelo Pires Halzhausen State Airport,America/Sao_Paulo
AIG,Yalinga,Africa/Bangui
AIH,Aiambak Airport,Pacific/Port_Moresby
AII,Ali-Sabieh Airport,Africa/Djibouti
AIK,Aiken Municipal Airport,America/New_York
AIL,Ailigandi Airport,America/Panama
AIM,Ailuk Airfield,Pacific/Kwajalein
AIN,Wainwright Airport,America/Anchorage
AIO,Atlantic Municipal Airport,America/Chicago
AIP,Adampur Airport,Asia/Kolkata
AIR,Aripuanã Airport,America/Cuiaba
AIS,Arorae Airport,Pacific/Tarawa
AIT,Aitutaki Airstrip,Pacific/Rarotonga
AIU,Enua Airport,Pacific/Rarotonga
AIV,George Downer Airport,America/Chicago
AIW,Ai Ais,Africa/Windhoek
AIY,Atlantic City Municipal Airport-Bader Field,America/Sao_Paulo
AIZ,Lee C Fine Memorial Airport,America/Chicago
AJA,Ajaccio Napoleon Bonaparte Airport,Europe/Paris
AJF,Al Jouf Domestic Airport,Asia/Riyadh
AJI,Ağrı Airport,Europe/Istanbul
AJJ,Akjoujt,Africa/Nouakchott
AJK,Arak Airport,Asia/Tehran
AJL,Aizawl Lengpui Airport,Asia/Kolkata
